class,filename,angle_deg,geometric_deg,position,risk_level,weight_added
1_approach,20260824_195707.jpg,33.26,33.26,0,,+0.00
1_approach,20260824_195908.jpg,61.84,61.84,2,,+0.00
1_approach,20260824_195931.jpg,50.69,50.69,2,,+0.00
1_approach,20260824_200049.jpg,-1.16,-1.16,-1,,+0.00
1_approach,20260824_200122.jpg,12.75,12.75,1,,+0.00
1_approach,20260824_200133.jpg,46.27,46.27,2,,+0.00
1_approach,20260824_200238.jpg,-60.73,-60.73,-2,,+0.00
1_approach,20260824_200248.jpg,-47.39,-47.39,-1,,+0.00
1_approach,20260824_200341.jpg,-51.64,-51.64,-2,,+0.00
1_approach,20260824_200356.jpg,-26.22,-26.22,-2,,+0.00
1_approach,20260827_200804.jpg,18.68,18.68,0,,+0.00
1_approach,20260827_205348.jpg,44.26,44.26,2,,+0.00
1_approach,20260827_205637.jpg,-40.74,-40.74,-2,,+0.00
1_approach,20260828_103715.jpg,36.35,36.35,1,,+0.00
1_approach,20260828_103723.jpg,-14.83,-14.83,-2,,+0.00
1_approach,20260828_103923.jpg,-58.80,-58.80,-2,,+0.00
1_approach,20260828_104135.jpg,60.26,60.26,2,,+0.00
1_approach,20260828_104137.jpg,8.93,8.93,1,,+0.00
1_approach,20260828_104153.jpg,-11.59,-11.59,-1,,+0.00
1_approach,20260828_104220.jpg,-19.86,-19.86,-2,,+0.00
1_approach,20260828_104245.jpg,45.80,45.80,2,,+0.00
1_approach,20260828_104248.jpg,-15.48,-15.48,0,,+0.00
1_approach,20260828_104616.jpg,35.67,35.67,2,,+0.00
1_approach,20260828_104632.jpg,-39.04,-39.04,-2,,+0.00
1_approach,20260828_104717.jpg,0.00,0.00,-1,,+0.00
1_approach,20260831_200214.jpg,-42.05,-42.05,0,,+0.00
1_approach,20260831_200219.jpg,51.56,51.56,0,,+0.00
1_approach,20260831_200231.jpg,-48.37,-48.37,-2,,+0.00
1_approach,20260831_200457.jpg,-47.10,-47.10,-1,,+0.00
1_approach,20260831_200608.jpg,35.46,35.46,0,,+0.00
1_approach,20260831_200625.jpg,-33.47,-33.47,-2,,+0.00
1_approach,20260831_200826.jpg,0.00,0.00,0,,+0.00
1_approach,20260831_200838.jpg,-0.40,-0.40,0,,+0.00
1_approach,20260831_200930.jpg,0.00,0.00,0,,+0.00
1_approach,20260831_201012.jpg,55.33,55.33,2,,+0.00
1_approach,20260831_201027.jpg,43.78,43.78,1,,+0.00
1_approach,20260831_201028.jpg,0.00,0.00,2,,+0.00
1_approach,20260831_201123.jpg,-50.92,-50.92,-2,,+0.00
1_approach,20260831_201143.jpg,33.69,33.69,0,,+0.00
1_approach,20260831_201238.jpg,-42.51,-42.51,-2,,+0.00
1_approach,20260831_201252.jpg,-41.33,-41.33,-2,,+0.00
1_approach,20260831_201255.jpg,0.00,0.00,0,,+0.00
1_approach,20260831_201310.jpg,42.27,42.27,2,,+0.00
1_approach,20260831_201322.jpg,46.11,46.11,2,,+0.00
1_approach,20260831_201415.jpg,-33.16,-33.16,-2,,+0.00
1_approach,20260831_201434.jpg,-47.25,-47.25,-2,,+0.00
1_approach,20260831_201436.jpg,-27.27,-27.27,0,,+0.00
1_approach,20260902_165918.jpg,16.49,16.49,1,,+0.00
1_approach,20260902_165924.jpg,50.61,50.61,2,,+0.00
1_approach,20260902_170231.jpg,-39.96,-39.96,-1,,+0.00
1_approach,20260904_161736.jpg,49.02,49.02,0,,+0.00
1_approach,20260907_205226.jpg,-45.63,-45.63,1,,+0.00
1_approach,20260907_205227.jpg,-3.81,-3.81,1,,+0.00
1_approach,20260907_205229.jpg,35.30,35.30,1,,+0.00
1_approach,20260907_205234.jpg,45.19,45.19,0,,+0.00
1_approach,20260907_205237.jpg,-31.56,-31.56,0,,+0.00
1_approach,20260907_205259.jpg,-30.96,-30.96,0,,+0.00
1_approach,20260907_205301.jpg,24.66,24.66,0,,+0.00
1_approach,20260907_205419.jpg,-22.17,-22.17,1,,+0.00
1_approach,20260907_205421.jpg,1.27,1.27,1,,+0.00
1_approach,20260907_205423.jpg,40.14,40.14,1,,+0.00
1_approach,20260907_205429.jpg,-37.90,-37.90,0,,+0.00
1_approach,20260907_205431.jpg,-2.29,-2.29,0,,+0.00
1_approach,20260907_205433.jpg,29.43,29.43,0,,+0.00
1_approach,20260907_205446.jpg,-36.72,-36.72,-1,,+0.00
1_approach,20260907_205614.jpg,-30.54,-30.54,-1,,+0.00
1_approach,20260907_205615.jpg,-0.37,-0.37,-2,,+0.00
1_approach,20260907_205617.jpg,33.34,33.34,-2,,+0.00
1_approach,20260907_205630.jpg,-41.19,-41.19,0,,+0.00
1_approach,20260907_205632.jpg,-0.50,-0.50,0,,+0.00
1_approach,20260907_205633.jpg,22.92,22.92,0,,+0.00
1_approach,20260907_205637.jpg,-31.63,-31.63,1,,+0.00
1_approach,20260907_205638.jpg,1.41,1.41,1,,+0.00
1_approach,20260907_205639.jpg,29.78,29.78,1,,+0.00
1_approach,20260907_205659.jpg,38.25,38.25,1,,+0.00
1_approach,20260907_205700.jpg,0.98,0.98,1,,+0.00
1_approach,20260907_205816.jpg,-48.62,-48.62,-1,,+0.00
1_approach,20260907_205839.jpg,53.41,53.41,0,,+0.00
1_approach,20260907_210032.jpg,-39.52,-39.52,-1,,+0.00
1_approach,20260907_210041.jpg,0.00,0.00,-1,,+0.00
1_approach,20260907_210050.jpg,36.52,36.52,-1,,+0.00
1_approach,20260907_210101.jpg,-24.36,-24.36,0,,+0.00
1_approach,20260907_210110.jpg,-1.54,-1.54,0,,+0.00
1_approach,20260907_210120.jpg,32.09,32.09,0,,+0.00
1_approach,20260907_210207.jpg,47.51,47.51,0,,+0.00
1_approach,20260907_210216.jpg,0.35,0.35,0,,+0.00
1_approach,20260907_210225.jpg,-44.76,-44.76,0,,+0.00
1_approach,20260907_210924.jpg,-30.61,-30.61,1,,+0.00
1_approach,20260907_210927.jpg,31.18,31.18,0,,+0.00
1_approach,20260907_210935.jpg,-27.41,-27.41,0,,+0.00
1_approach,20260907_210937.jpg,0.00,0.00,-1,,+0.00
1_approach,20260907_210950.jpg,-19.86,-19.86,-2,,+0.00
1_approach,20260907_211356.jpg,27.12,27.12,0,,+0.00
1_approach,left (1).jpg,26.57,26.57,2,,+0.00
1_approach,left (1457).jpg,25.92,25.92,0,,+0.00
1_approach,left (1690).jpg,39.39,39.39,0,,+0.00
1_approach,left (2639).jpg,35.51,35.51,2,,+0.00
1_approach,right (1482).jpg,-37.54,-37.54,0,,+0.00
1_approach,right (2665).jpg,-41.58,-41.58,0,,+0.00
2_front,20251119_130610_033_saved.jpg,7.06,7.06,0,,+0.00
2_front,20251119_130610_073_saved.jpg,0.38,0.38,0,,+0.00
2_front,20251119_131206_025_saved.jpg,0.17,0.17,-2,,+0.00
2_front,20251119_131658_099_saved.jpg,0.00,0.00,0,,+0.00
2_front,20251119_132013_049_saved.jpg,0.61,0.61,2,,+0.00
2_front,20251119_132013_100_saved.jpg,0.00,0.00,2,,+0.00
2_front,20251119_153628.jpg,0.00,0.00,-1,,+0.00
2_front,20251119_154454_012_saved.jpg,3.32,3.32,0,,+0.00
2_front,20251119_154454_100_saved.jpg,1.41,1.41,0,,+0.00
2_front,20251119_155329_100_saved.jpg,-0.18,-0.18,2,,+0.00
2_front,20251119_160548_025_saved.jpg,0.00,0.00,1,,+0.00
2_front,20251119_160555_055_saved.jpg,0.00,0.00,1,,+0.00
2_front,20251119_161645.jpg,0.00,0.00,0,,+0.00
2_front,20251119_161646_016_saved.jpg,0.71,0.71,0,,+0.00
2_front,20251119_161652_018_saved.jpg,0.00,0.00,1,,+0.00
2_front,20251119_161652_081_saved.jpg,-2.40,-2.40,1,,+0.00
2_front,20251119_161750_002_saved.jpg,-0.74,-0.74,0,,+0.00
2_front,20251119_161750_090_saved.jpg,0.00,0.00,1,,+0.00
2_front,20251119_162002.jpg,1.67,1.67,2,,+0.00
2_front,20251119_162003_096_saved.jpg,1.45,1.45,2,,+0.00
2_front,20251119_162009_097_saved.jpg,1.52,1.52,2,,+0.00
2_front,20251119_162308_009_saved.jpg,-2.58,-2.58,0,,+0.00
2_front,20251119_162317_030_saved.jpg,0.65,0.65,1,,+0.00
2_front,20251119_163010_026_saved.jpg,-5.27,-5.27,0,,+0.00
2_front,20251119_163013_023_saved.jpg,5.83,5.83,1,,+0.00
2_front,20251119_163013_068_saved.jpg,3.72,3.72,0,,+0.00
2_front,20251119_163243_040_saved.jpg,0.61,0.61,1,,+0.00
2_front,20251119_163243_078_saved.jpg,-0.18,-0.18,,,+0.00
2_front,20251119_163653_011_saved.jpg,1.06,1.06,1,,+0.00
2_front,20251119_163653_047_saved.jpg,-1.30,-1.30,1,,+0.00
2_front,20251119_163716_004_saved.jpg,2.56,2.56,-1,,+0.00
2_front,20251119_163716_015_saved.jpg,0.00,0.00,-1,,+0.00
2_front,20251119_163716_065_saved.jpg,-0.24,-0.24,-2,,+0.00
2_front,20251119_163913_009_saved.jpg,2.76,2.76,-2,,+0.00
2_front,20251119_163913_041_saved.jpg,4.17,4.17,-1,,+0.00
2_front,20251119_163913_069_saved.jpg,-0.50,-0.50,-2,,+0.00
2_front,20251119_163913_081_saved.jpg,2.52,2.52,-2,,+0.00
2_front,20251119_164334_029_saved.jpg,1.48,1.48,1,,+0.00
2_front,20251119_164340_063_saved.jpg,0.93,0.93,1,,+0.00
2_front,20251119_164354_018_saved.jpg,3.33,3.33,1,,+0.00
2_front,20251119_164354_070_saved.jpg,6.63,6.63,1,,+0.00
2_front,20251119_175218_020_saved.jpg,0.42,0.42,1,,+0.00
2_front,20251119_175218_096_saved.jpg,4.36,4.36,1,,+0.00
2_front,20251119_175635_016_saved.jpg,1.72,1.72,-1,,+0.00
2_front,20251119_175635_091_saved.jpg,0.00,0.00,-1,,+0.00
2_front,20251119_175647_046_saved.jpg,0.00,0.00,-1,,+0.00
2_front,20251119_175647_072_saved.jpg,5.33,5.33,-1,,+0.00
2_front,20251119_180913_005_saved.jpg,-2.66,-2.66,,,+0.00
2_front,20251119_180921_003_saved.jpg,1.00,1.00,,,+0.00
2_front,20251119_180921_056_saved.jpg,-2.87,-2.87,1,,+0.00
2_front,20251119_181245.jpg,4.22,4.22,2,,+0.00
2_front,20251119_181245_081_saved.jpg,-3.86,-3.86,1,,+0.00
2_front,20251120_163823_084_saved.jpg,0.74,0.74,-2,,+0.00
2_front,20251120_164854_014_saved.jpg,1.51,1.51,0,,+0.00
2_front,20251120_164854_022_saved.jpg,-0.85,-0.85,1,,+0.00
2_front,20251120_164854_100_saved.jpg,0.00,0.00,0,,+0.00
2_front,20251120_165640_012_saved.jpg,1.65,1.65,1,,+0.00
2_front,20251120_165640_025_saved.jpg,0.00,0.00,1,,+0.00
2_front,20251120_165646_067_saved.jpg,1.53,1.53,1,,+0.00
2_front,20251120_165646_093_saved.jpg,1.46,1.46,0,,+0.00
2_front,20251120_170830_031_saved.jpg,0.98,0.98,-1,,+0.00
2_front,20251120_170830_044_saved.jpg,0.80,0.80,-1,,+0.00
2_front,20260708_203323.jpg,0.94,0.94,0,,+0.00
2_front,20260709_202951.jpg,0.22,0.22,0,,+0.00
2_front,20260709_203009.jpg,1.31,1.31,-1,,+0.00
2_front,20260709_203013.jpg,0.00,0.00,-1,,+0.00
2_front,20260719_141356.jpg,-0.58,-0.58,0,,+0.00
2_front,20260724_201400.jpg,0.44,0.44,0,,+0.00
2_front,20260724_201438.jpg,0.25,0.25,0,,+0.00
2_front,20260724_201439.jpg,0.00,0.00,0,,+0.00
2_front,20260724_202716.jpg,-1.10,-1.10,0,,+0.00
2_front,20260731_012226.jpg,0.00,0.00,0,,+0.00
2_front,20260731_012424.jpg,0.00,0.00,1,,+0.00
2_front,20260731_012622.jpg,0.84,0.84,0,,+0.00
2_front,20260731_012910.jpg,0.61,0.61,-1,,+0.00
2_front,20260731_013101.jpg,-5.48,-5.48,0,,+0.00
2_front,20260731_013418.jpg,0.00,0.00,0,,+0.00
2_front,20260731_013602.jpg,-3.53,-3.53,0,,+0.00
2_front,20260731_013614.jpg,-0.68,-0.68,0,,+0.00
2_front,20260731_013841.jpg,1.86,1.86,0,,+0.00
2_front,20260731_013847.jpg,-0.49,-0.49,0,,+0.00
2_front,20260731_014020.jpg,5.57,5.57,0,,+0.00
2_front,20260731_014028.jpg,1.48,1.48,0,,+0.00
2_front,20260731_014407.jpg,7.77,7.77,0,,+0.00
2_front,20260731_014413.jpg,1.64,1.64,0,,+0.00
2_front,20260731_014416.jpg,3.01,3.01,0,,+0.00
2_front,20260731_014838.jpg,6.93,6.93,0,,+0.00
2_front,20260731_015012.jpg,4.69,4.69,2,,+0.00
2_front,20260731_015119.jpg,2.28,2.28,1,,+0.00
2_front,20260731_015142.jpg,1.59,1.59,0,,+0.00
2_front,20260731_015305.jpg,1.85,1.85,0,,+0.00
2_front,20260731_015618.jpg,0.00,0.00,0,,+0.00
2_front,20260731_015621.jpg,0.34,0.34,0,,+0.00
2_front,20260731_015646.jpg,3.75,3.75,0,,+0.00
2_front,20260731_015823.jpg,0.00,0.00,2,,+0.00
2_front,20260731_015828.jpg,1.51,1.51,2,,+0.00
2_front,20260731_015837.jpg,2.95,2.95,1,,+0.00
2_front,20260731_020000.jpg,4.22,4.22,1,,+0.00
2_front,20260731_020015.jpg,0.71,0.71,0,,+0.00
2_front,20260731_020157.jpg,0.92,0.92,0,,+0.00
2_front,20260731_021430.jpg,-0.45,-0.45,1,,+0.00
2_front,20260731_022025.jpg,12.55,12.55,2,,+0.00
2_front,20260731_022041.jpg,3.48,3.48,0,,+0.00
2_front,20260731_022107.jpg,-0.22,-0.22,-2,,+0.00
2_front,20260731_022539.jpg,3.38,3.38,0,,+0.00
2_front,20260731_023328.jpg,-0.32,-0.32,0,,+0.00
2_front,20260731_023444.jpg,4.05,4.05,0,,+0.00
2_front,20260804_182203.jpg,-1.38,-1.38,-1,,+0.00
2_front,20260804_182408.jpg,0.00,0.00,0,,+0.00
2_front,20260808_000203.jpg,-0.30,-0.30,2,,+0.00
2_front,20260808_000211.jpg,2.27,2.27,0,,+0.00
2_front,20260809_172925.jpg,4.81,4.81,0,,+0.00
2_front,20260809_172935.jpg,3.26,3.26,0,,+0.00
2_front,20260809_173923.jpg,4.30,4.30,0,,+0.00
2_front,20260810_202356.jpg,4.96,4.96,0,,+0.00
2_front,20260812_203837.jpg,6.92,6.92,0,,+0.00
2_front,20260812_205409.jpg,0.24,0.24,0,,+0.00
2_front,20260812_205545.jpg,0.00,0.00,0,,+0.00
2_front,20260819_122945.jpg,6.91,6.91,2,,+0.00
2_front,20260821_190959.jpg,0.00,0.00,-1,,+0.00
2_front,20260821_193228.jpg,0.26,0.26,1,,+0.00
2_front,20260823_160657.jpg,-0.18,-0.18,-2,,+0.00
2_front,20260824_195740.jpg,-4.53,-4.53,0,,+0.00
2_front,20260824_200125.jpg,12.66,12.66,0,,+0.00
2_front,20260824_200144.jpg,4.34,4.34,0,,+0.00
2_front,20260827_091728.jpg,2.96,2.96,0,,+0.00
2_front,20260827_201705.jpg,-2.12,-2.12,0,,+0.00
2_front,20260827_205354.jpg,-3.87,-3.87,0,,+0.00
2_front,20260828_103725.jpg,-7.56,-7.56,0,,+0.00
2_front,20260828_104035.jpg,-0.17,-0.17,0,,+0.00
2_front,20260828_104200.jpg,-6.57,-6.57,0,,+0.00
2_front,20260828_104618.jpg,-3.76,-3.76,0,,+0.00
2_front,20260828_104625.jpg,-0.67,-0.67,0,,+0.00
2_front,20260828_104644.jpg,5.95,5.95,0,,+0.00
2_front,20260828_104719.jpg,2.78,2.78,0,,+0.00
2_front,20260831_200216.jpg,7.24,7.24,0,,+0.00
2_front,20260831_200223.jpg,2.13,2.13,1,,+0.00
2_front,20260831_200237.jpg,-0.19,-0.19,1,,+0.00
2_front,20260831_200831.jpg,-0.38,-0.38,1,,+0.00
2_front,20260831_200840.jpg,4.01,4.01,0,,+0.00
2_front,20260831_200933.jpg,-4.59,-4.59,0,,+0.00
2_front,20260831_201018.jpg,-0.67,-0.67,0,,+0.00
2_front,20260831_201135.jpg,3.11,3.11,0,,+0.00
2_front,20260831_201147.jpg,6.26,6.26,0,,+0.00
2_front,20260831_201201.jpg,-1.80,-1.80,0,,+0.00
2_front,20260831_201244.jpg,7.23,7.23,0,,+0.00
2_front,20260831_201315.jpg,2.89,2.89,0,,+0.00
2_front,20260831_201326.jpg,2.23,2.23,0,,+0.00
2_front,20260831_201418.jpg,13.34,13.34,0,,+0.00
2_front,20260831_201438.jpg,7.71,7.71,0,,+0.00
2_front,20260902_170403.jpg,4.47,4.47,0,,+0.00
2_front,20260902_173827.jpg,6.47,6.47,0,,+0.00
2_front,20260904_161811.jpg,1.93,1.93,-1,,+0.00
2_front,20260904_161825.jpg,0.64,0.64,0,,+0.00
2_front,20260904_170801.jpg,-0.52,-0.52,0,,+0.00
2_front,20260904_170828.jpg,-0.16,-0.16,1,,+0.00
2_front,20260904_170848.jpg,-1.07,-1.07,-1,,+0.00
2_front,20260904_172130.jpg,0.44,0.44,0,,+0.00
2_front,20260904_172202.jpg,0.16,0.16,0,,+0.00
2_front,20260907_205236.jpg,0.43,0.43,0,,+0.00
2_front,20260907_205444.jpg,0.00,0.00,0,,+0.00
2_front,20260907_205459.jpg,-0.67,-0.67,0,,+0.00
2_front,20260907_205705.jpg,-0.40,-0.40,0,,+0.00
2_front,20260907_205807.jpg,3.13,3.13,0,,+0.00
2_front,20260907_205847.jpg,0.35,0.35,0,,+0.00
2_front,20260907_210045.jpg,0.98,0.98,0,,+0.00
2_front,20260907_210115.jpg,1.54,1.54,0,,+0.00
2_front,20260907_210145.jpg,-1.05,-1.05,1,,+0.00
2_front,20260907_210220.jpg,-0.55,-0.55,0,,+0.00
2_front,20260907_210413.jpg,0.76,0.76,-1,,+0.00
2_front,20260907_210422.jpg,0.00,0.00,1,,+0.00
2_front,20260907_210544.jpg,-0.18,-0.18,1,,+0.00
2_front,20260907_210553.jpg,0.00,0.00,0,,+0.00
2_front,20260907_210601.jpg,0.00,0.00,-1,,+0.00
2_front,20260907_210651.jpg,0.00,0.00,-1,,+0.00
2_front,20260907_210701.jpg,0.00,0.00,1,,+0.00
2_front,20260907_210723.jpg,2.51,2.51,1,,+0.00
2_front,20260907_210735.jpg,0.00,0.00,-1,,+0.00
2_front,20260907_210908.jpg,0.51,0.51,0,,+0.00
2_front,20260907_210916.jpg,-0.38,-0.38,1,,+0.00
2_front,20260907_210955.jpg,-1.18,-1.18,0,,+0.00
2_front,20260907_211122.jpg,0.83,0.83,0,,+0.00
2_front,20260907_211146.jpg,0.76,0.76,0,,+0.00
2_front,20260907_211201.jpg,-0.59,-0.59,1,,+0.00
2_front,20260907_211400.jpg,0.21,0.21,0,,+0.00
3_left,20260708_203305.jpg,49.01,46.01,-1,1,+3.00
3_left,20260708_203311.jpg,52.24,52.24,1,-1,+0.00
3_left,20260708_203334.jpg,43.74,43.74,1,-1,+0.00
3_left,20260708_203344.jpg,37.38,37.38,0,0,+0.00
3_left,20260709_201944.jpg,48.17,45.17,-1,1,+3.00
3_left,20260709_202953.jpg,43.03,43.03,0,0,+0.00
3_left,20260709_203041.jpg,45.31,45.31,,,+0.00
3_left,20260719_141740.jpg,39.47,39.47,1,-1,+0.00
3_left,20260722_133658.jpg,55.86,55.86,1,-1,+0.00
3_left,20260722_133707.jpg,53.04,53.04,1,-1,+0.00
3_left,20260722_133710.jpg,64.43,64.43,1,-1,+0.00
3_left,20260722_133728.jpg,64.34,64.34,,,+0.00
3_left,20260722_133731.jpg,58.22,58.22,2,-2,+0.00
3_left,20260724_180436.jpg,52.77,49.77,-1,1,+3.00
3_left,20260724_190451.jpg,53.97,50.97,-1,1,+3.00
3_left,20260724_201327.jpg,65.54,65.54,0,0,+0.00
3_left,20260724_201426.jpg,57.57,57.57,0,0,+0.00
3_left,20260724_201427.jpg,63.19,63.19,0,0,+0.00
3_left,20260724_202157.jpg,47.02,47.02,0,0,+0.00
3_left,20260724_202159.jpg,55.06,52.06,-1,1,+3.00
3_left,20260724_202446.jpg,56.40,53.40,-1,1,+3.00
3_left,20260724_202718.jpg,62.56,62.56,0,0,+0.00
3_left,20260727_151140.jpg,58.59,55.59,-1,1,+3.00
3_left,20260727_151144.jpg,46.53,46.53,2,-2,+0.00
3_left,20260727_151146.jpg,41.38,41.38,0,0,+0.00
3_left,20260730_190446.jpg,31.22,31.22,0,0,+0.00
3_left,20260730_190448.jpg,40.13,40.13,0,0,+0.00
3_left,20260731_012051.jpg,53.62,53.62,0,0,+0.00
3_left,20260731_012230.jpg,55.05,55.05,0,0,+0.00
3_left,20260731_012403.jpg,74.04,71.04,-1,1,+3.00
3_left,20260731_012428.jpg,59.38,59.38,0,0,+0.00
3_left,20260731_012620.jpg,73.61,73.61,1,-1,+0.00
3_left,20260731_012633.jpg,63.95,60.95,-1,1,+3.00
3_left,20260731_012912.jpg,52.97,52.97,0,0,+0.00
3_left,20260731_013103.jpg,59.10,59.10,1,-1,+0.00
3_left,20260731_013835.jpg,67.20,67.20,0,0,+0.00
3_left,20260731_013848.jpg,58.17,58.17,0,0,+0.00
3_left,20260731_014014.jpg,73.28,73.28,2,-2,+0.00
3_left,20260731_014842.jpg,51.01,48.01,-1,1,+3.00
3_left,20260731_014851.jpg,68.59,65.59,-1,1,+3.00
3_left,20260731_014958.jpg,60.88,57.88,-1,1,+3.00
3_left,20260731_015123.jpg,57.34,57.34,0,0,+0.00
3_left,20260731_015244.jpg,66.01,66.01,1,-1,+0.00
3_left,20260731_015308.jpg,62.22,62.22,0,0,+0.00
3_left,20260731_015603.jpg,69.44,69.44,2,-2,+0.00
3_left,20260731_015643.jpg,74.28,71.28,-1,1,+3.00
3_left,20260731_015831.jpg,53.23,53.23,1,-1,+0.00
3_left,20260731_020033.jpg,66.34,66.34,2,-2,+0.00
3_left,20260731_020211.jpg,61.50,61.50,2,-2,+0.00
3_left,20260731_020847.jpg,66.06,66.06,0,0,+0.00
3_left,20260731_021434.jpg,63.01,63.01,1,-1,+0.00
3_left,20260731_022047.jpg,60.52,60.52,2,-2,+0.00
